TypeCode,TypeName,Category,AssetType,Manufacturer,ModelNumber,WarrantyDurationYears,ReplacementCostGBP,ExpectedLifeYears,DurationUnit,MaintenanceFreqMonths,Description,Material,Finish,SFG20Code,UniclassCode,RevitCategory,StingDiscCode,StingSysCode,StingFuncCode,StingProdCode
AHU-01,"Air Handling Unit - Small",HVAC Equipment,Fixed,Generic,AHU-S-01,5,15000,25,year,6,"Small AHU 0.5-2.0 m³/s",Galvanised Steel,Powder Coated,3-50-70,Ss_45_10_02,Mechanical Equipment,M,HVAC,SUP,AHU
AHU-02,"Air Handling Unit - Medium",HVAC Equipment,Fixed,Generic,AHU-M-01,5,35000,25,year,6,"Medium AHU 2.0-5.0 m³/s",Galvanised Steel,Powder Coated,3-50-70,Ss_45_10_02,Mechanical Equipment,M,HVAC,SUP,AHU
AHU-03,"Air Handling Unit - Large",HVAC Equipment,Fixed,Generic,AHU-L-01,5,75000,25,year,6,"Large AHU 5.0-20.0 m³/s",Galvanised Steel,Powder Coated,3-50-70,Ss_45_10_02,Mechanical Equipment,M,HVAC,SUP,AHU
FCU-01,"Fan Coil Unit - Ceiling",HVAC Equipment,Fixed,Generic,FCU-C-01,3,2500,20,year,6,"Ceiling concealed fan coil unit",Galvanised Steel,Factory Finish,3-50-71,Ss_45_10_30,Mechanical Equipment,M,HVAC,SUP,FCU
FCU-02,"Fan Coil Unit - Floor",HVAC Equipment,Fixed,Generic,FCU-F-01,3,3000,20,year,6,"Floor standing fan coil unit",Galvanised Steel,Factory Finish,3-50-71,Ss_45_10_30,Mechanical Equipment,M,HVAC,SUP,FCU
VAV-01,"Variable Air Volume Box",HVAC Equipment,Fixed,Generic,VAV-01,3,4500,20,year,12,"VAV terminal unit with actuator",Galvanised Steel,Galvanised,3-50-72,Ss_45_10_90,Mechanical Equipment,M,HVAC,SUP,VAV
CHR-01,"Chiller - Air Cooled",HVAC Equipment,Fixed,Generic,CHR-AC-01,5,50000,20,year,3,"Air cooled chiller 100-500kW",Steel,Powder Coated,3-50-50,Ss_55_30_15,Mechanical Equipment,M,HVAC,CLG,CHR
CHR-02,"Chiller - Water Cooled",HVAC Equipment,Fixed,Generic,CHR-WC-01,5,65000,25,year,3,"Water cooled chiller 200-1000kW",Steel,Powder Coated,3-50-51,Ss_55_30_15,Mechanical Equipment,M,HVAC,CLG,CHR
BLR-01,"Boiler - Gas Condensing",HVAC Equipment,Fixed,Generic,BLR-GC-01,5,8000,20,year,6,"Gas condensing boiler 50-200kW",Steel,Enamel,3-50-60,Ss_55_30_10,Mechanical Equipment,M,HVAC,HTG,BLR
BLR-02,"Boiler - Gas Commercial",HVAC Equipment,Fixed,Generic,BLR-GX-01,5,25000,25,year,6,"Commercial gas boiler 200-500kW",Steel,Enamel,3-50-61,Ss_55_30_10,Mechanical Equipment,M,HVAC,HTG,BLR
PMP-01,"Pump - Heating Circuit",HVAC Equipment,Fixed,Generic,PMP-HT-01,2,3500,15,year,12,"Heating circuit pump",Cast Iron,Factory Finish,3-50-62,Ss_60_40_63,Mechanical Equipment,M,HVAC,HTG,PMP
PMP-02,"Pump - Chilled Water",HVAC Equipment,Fixed,Generic,PMP-CW-01,2,4000,15,year,12,"Chilled water circuit pump",Cast Iron,Factory Finish,3-50-52,Ss_60_40_63,Mechanical Equipment,M,HVAC,CLG,PMP
PMP-03,"Pump - Domestic Cold Water",Plumbing Equipment,Fixed,Generic,PMP-DCW-01,2,2500,15,year,12,"Cold water booster pump",Cast Iron/Stainless,Factory Finish,3-52-20,Ss_60_40_63,Plumbing Fixtures,P,DCW,DCW,PMP
PMP-04,"Pump - Domestic Hot Water",Plumbing Equipment,Fixed,Generic,PMP-DHW-01,2,2800,15,year,12,"Hot water circulation pump",Cast Iron/Bronze,Factory Finish,3-52-21,Ss_60_40_63,Plumbing Fixtures,P,DHW,DHW,PMP
CYL-01,"Calorifier / Hot Water Cylinder",Plumbing Equipment,Fixed,Generic,CYL-01,5,4000,20,year,12,"Indirect hot water cylinder 200-500L",Stainless Steel,Brushed,3-52-22,Ss_55_30_40,Plumbing Fixtures,P,DHW,DHW,CYL
TNK-01,"Cold Water Storage Tank",Plumbing Equipment,Fixed,Generic,TNK-CW-01,5,3000,25,year,12,"GRP cold water storage tank 500-2000L",GRP,Factory Finish,3-52-10,Ss_55_70_90,Plumbing Fixtures,P,DCW,DCW,TNK
SAN-01,"WC - Close Coupled",Sanitary Equipment,Fixed,Generic,WC-CC-01,2,350,25,year,12,"Close coupled WC suite",Vitreous China,Glazed,3-52-50,Ss_40_20_94,Plumbing Fixtures,P,SAN,SAN,WC
SAN-02,"WC - Wall Hung",Sanitary Equipment,Fixed,Generic,WC-WH-01,2,500,25,year,12,"Wall hung WC with concealed cistern",Vitreous China,Glazed,3-52-51,Ss_40_20_94,Plumbing Fixtures,P,SAN,SAN,WC
SAN-03,"Wash Hand Basin",Sanitary Equipment,Fixed,Generic,WHB-01,2,250,25,year,12,"Wall mounted wash hand basin",Vitreous China,Glazed,3-52-52,Ss_40_20_93,Plumbing Fixtures,P,SAN,SAN,WHB
SAN-04,"Shower Unit",Sanitary Equipment,Fixed,Generic,SHR-01,2,800,20,year,12,"Thermostatic shower with tray",Stainless Steel/Acrylic,Chrome/White,3-52-53,Ss_40_20_75,Plumbing Fixtures,P,SAN,SAN,SHR
SAN-05,"Kitchen Sink",Sanitary Equipment,Fixed,Generic,SNK-01,2,400,25,year,12,"Stainless steel kitchen sink unit",Stainless Steel,Brushed,3-52-54,Ss_40_20_76,Plumbing Fixtures,P,SAN,SAN,SNK
DB-01,"Distribution Board - Single Phase",Electrical Equipment,Fixed,Generic,DB-SP-01,2,1200,30,year,12,"Single phase distribution board 6-12 way",Steel,Powder Coated,3-54-10,Ss_60_40_23,Electrical Equipment,E,LV,PWR,DB
